Timestamp,Designing for data generation and capture,Data generation and capture,"Data storage, access and manipulation",Big data modelling and analysis,Visualising big data models and analysis,Making data-driven insights,Data-driven decision making under uncertainty,Monitoring and evaluation
04/04/2016 22:14:56,2,2,2,1,1,2,1,1
04/04/2016 22:26:28,1,2,1,1,2,1,2,1
04/04/2016 22:29:17,1,1,1,1,1,1,1,1
04/04/2016 22:30:27,4,4,4,5,5,5,5,5
04/04/2016 22:33:13,2,3,3,2,2,3,3,2
04/04/2016 22:33:27,1,2,5,4,5,4,2,4
04/04/2016 22:33:29,4,2,3,4,4,3,3,2
04/04/2016 22:33:40,1,1,2,2,2,1,1,1
04/04/2016 22:33:49,1,1,1,1,1,1,1,1
04/04/2016 22:44:35,1,2,2,1,2,3,2,3
04/04/2016 22:47:14,3,3,3,3,3,3,3,3
04/04/2016 22:52:07,1,1,1,1,3,3,2,1
04/04/2016 22:57:09,2,3,3,4,4,4,3,4
04/04/2016 22:57:10,1,1,1,1,1,1,1,1
04/04/2016 22:57:38,2,3,3,1,1,2,3,3
04/04/2016 22:59:45,1,2,3,1,2,2,1,2
04/04/2016 23:00:48,1,1,1,1,1,1,1,1
04/04/2016 23:07:24,1,2,3,2,2,3,3,3
04/04/2016 23:08:22,3,3,4,5,5,4,4,3
04/04/2016 23:13:36,2,3,4,4,3,2,2,3
04/04/2016 23:16:36,3,3,4,3,4,3,3,4
04/04/2016 23:16:42,1,1,1,1,1,1,3,1
04/04/2016 23:19:10,4,4,4,2,3,1,1,1
04/04/2016 23:24:57,1,1,2,1,1,1,1,1
04/04/2016 23:38:28,1,1,1,1,2,1,1,2
04/04/2016 23:42:49,4,4,3,4,4,5,4,4
04/04/2016 23:49:48,2,2,2,1,2,2,2,2
04/04/2016 23:50:27,4,4,3,2,2,1,1,1
04/04/2016 23:51:17,3,4,4,3,2,3,3,3
04/04/2016 23:54:45,4,2,3,3,3,4,3,3
04/04/2016 23:55:20,1,1,2,1,1,1,1,1
04/04/2016 23:56:14,4,2,3,3,3,4,3,3
05/04/2016 00:03:24,2,1,2,1,1,1,2,1
05/04/2016 00:09:42,3,3,2,2,4,4,1,3
05/04/2016 00:14:36,2,3,2,1,1,2,1,1
05/04/2016 00:17:20,2,2,3,1,3,2,1,2
05/04/2016 00:23:13,3,3,2,2,3,2,2,2
05/04/2016 00:26:00,3,4,3,5,4,5,3,3
05/04/2016 00:28:07,1,1,1,1,1,1,1,1
05/04/2016 00:47:11,1,1,1,1,1,1,1,1
05/04/2016 00:47:15,1,1,1,1,1,1,1,1
05/04/2016 00:48:24,4,3,3,1,2,3,1,4
05/04/2016 00:49:15,4,4,3,4,4,3,3,4
05/04/2016 00:52:33,3,3,3,3,2,1,2,3
05/04/2016 00:54:28,2,2,3,3,3,3,2,2
05/04/2016 01:01:09,2,2,2,2,2,2,3,3
05/04/2016 01:03:54,3,3,4,3,4,3,3,3
05/04/2016 01:04:08,3,4,3,3,3,2,2,3
05/04/2016 01:05:24,3,3,4,3,4,3,3,3
05/04/2016 01:17:42,4,4,4,4,4,4,4,4
05/04/2016 01:22:54,3,3,4,4,4,5,5,4
05/04/2016 01:30:00,2,2,2,2,2,2,1,1
05/04/2016 01:32:17,1,1,1,1,1,1,1,1
05/04/2016 01:36:36,2,1,1,1,1,1,2,2
05/04/2016 01:43:24,3,3,3,2,2,3,2,1
05/04/2016 01:47:04,1,1,1,1,1,2,1,1
05/04/2016 01:48:20,3,3,2,2,1,2,2,2
05/04/2016 01:51:17,1,1,1,1,1,1,1,1
05/04/2016 02:02:36,2,2,3,2,2,2,2,2
05/04/2016 02:09:19,3,3,2,3,4,4,4,3
05/04/2016 02:09:47,5,5,5,5,5,5,5,4
05/04/2016 02:09:57,4,4,4,4,4,4,2,4
05/04/2016 02:10:36,4,4,5,5,4,4,4,5
05/04/2016 02:15:35,2,2,2,2,3,2,1,2
05/04/2016 02:19:59,4,4,5,5,4,5,4,5
05/04/2016 02:30:00,2,1,2,2,1,1,2,2
05/04/2016 02:30:28,3,3,3,1,1,1,2,1
05/04/2016 02:43:06,1,1,1,2,2,2,1,2
05/04/2016 03:00:23,3,3,3,2,2,2,1,1
05/04/2016 03:00:24,1,1,1,1,1,1,1,1
05/04/2016 03:02:52,3,4,3,2,3,3,2,3
05/04/2016 03:11:01,3,3,4,3,2,1,1,1
05/04/2016 03:37:04,1,1,1,1,1,1,1,1
05/04/2016 03:46:33,3,3,4,4,4,3,3,3
05/04/2016 03:47:23,2,2,2,2,2,2,2,2
05/04/2016 03:50:39,1,1,1,1,1,1,1,1
05/04/2016 03:55:34,5,5,4,3,3,3,3,3
05/04/2016 03:56:27,4,4,4,3,3,3,3,3
05/04/2016 04:00:16,1,1,1,1,1,1,1,1
05/04/2016 04:37:31,1,1,1,1,1,1,1,1
05/04/2016 04:44:06,2,1,1,1,2,1,1,1
05/04/2016 04:48:43,1,2,4,3,3,3,2,2
05/04/2016 04:50:06,1,2,3,3,2,3,2,2
05/04/2016 04:52:05,1,1,2,4,3,2,3,4
05/04/2016 05:04:31,2,2,2,3,2,2,2,2
05/04/2016 05:06:07,1,1,1,1,1,1,1,1
05/04/2016 05:07:02,2,2,2,3,2,2,2,2
05/04/2016 05:25:24,3,3,3,3,3,3,3,3
05/04/2016 05:32:20,1,1,1,1,1,2,2,1
05/04/2016 05:33:00,3,3,3,2,3,2,2,2
05/04/2016 05:36:07,2,2,5,3,2,4,2,3
05/04/2016 05:38:37,2,3,4,4,2,2,2,2
05/04/2016 05:45:41,2,1,1,2,2,3,3,2
05/04/2016 05:46:13,2,2,2,3,3,2,2,1
05/04/2016 05:52:03,1,1,1,1,1,1,1,1
05/04/2016 05:53:04,4,4,5,5,4,4,4,4
05/04/2016 06:00:55,2,2,3,2,1,2,2,2
05/04/2016 06:01:22,1,1,1,1,1,1,1,1
05/04/2016 06:08:54,2,2,3,2,2,1,1,1
05/04/2016 06:12:18,2,2,2,2,2,2,2,2
05/04/2016 06:20:17,3,4,3,4,4,3,2,3
05/04/2016 06:31:29,2,1,2,2,3,3,2,3
05/04/2016 06:35:57,2,2,2,1,1,1,1,1
05/04/2016 06:42:18,1,1,2,1,1,1,1,1
05/04/2016 06:49:49,1,2,2,1,2,1,1,2
05/04/2016 06:51:33,1,1,1,1,1,1,1,1
05/04/2016 06:56:06,2,1,2,1,1,2,1,2
05/04/2016 06:57:52,2,1,2,1,1,2,1,1
05/04/2016 06:58:47,1,2,1,1,1,2,1,1
05/04/2016 07:03:03,2,2,2,1,1,3,2,3
05/04/2016 07:09:32,2,2,3,3,2,2,2,2
05/04/2016 07:12:47,1,1,1,1,1,1,1,1
05/04/2016 07:12:58,1,1,2,1,1,1,1,1
05/04/2016 07:14:03,1,1,1,1,1,2,2,2
05/04/2016 07:15:57,1,2,1,2,1,1,1,1
05/04/2016 07:26:31,4,4,3,3,3,4,4,4
05/04/2016 07:29:51,2,2,2,2,1,4,4,3
05/04/2016 07:54:44,2,2,2,2,2,2,2,2
05/04/2016 08:06:26,1,2,2,2,2,2,2,2
05/04/2016 08:12:08,1,3,2,1,2,2,1,2
05/04/2016 08:19:52,2,2,1,2,2,3,3,2
05/04/2016 08:24:24,2,2,2,2,2,2,2,2
05/04/2016 09:01:06,1,1,1,1,1,1,1,1
05/04/2016 09:03:11,2,1,2,3,3,4,4,3
05/04/2016 09:12:20,3,3,4,4,2,3,1,3
05/04/2016 09:35:32,1,1,1,1,1,1,1,1
05/04/2016 09:46:49,5,5,5,5,5,5,5,5
05/04/2016 10:25:26,1,3,3,3,3,3,2,3
05/04/2016 10:33:12,3,3,2,4,3,3,3,2
05/04/2016 10:33:43,1,2,1,1,1,1,1,2
05/04/2016 11:23:50,1,2,3,4,4,4,3,2
05/04/2016 11:37:06,1,1,2,1,2,1,1,1
05/04/2016 12:14:05,1,1,1,1,1,1,1,1
05/04/2016 12:14:34,2,4,5,2,2,1,2,2
05/04/2016 12:50:30,4,4,3,4,4,4,3,4
05/04/2016 12:50:51,4,3,2,3,5,5,5,4
05/04/2016 12:51:28,1,1,1,1,1,1,1,1
05/04/2016 13:13:16,1,1,1,1,1,1,1,1
05/04/2016 13:39:04,2,2,2,2,2,2,2,2
05/04/2016 14:03:42,2,2,2,2,2,2,2,2
05/04/2016 14:20:14,1,2,3,2,2,2,3,3
05/04/2016 14:24:49,2,2,2,2,2,2,1,1
05/04/2016 14:26:40,4,5,3,5,4,4,4,4
05/04/2016 14:27:01,2,2,2,2,2,2,1,1
05/04/2016 14:37:37,1,2,2,1,1,2,2,2
05/04/2016 14:39:25,1,1,2,1,1,1,1,1
05/04/2016 14:46:20,2,4,1,2,2,1,2,1
05/04/2016 14:52:00,2,1,1,2,2,1,1,2
05/04/2016 15:12:06,1,1,1,4,4,4,4,1
05/04/2016 15:22:42,1,1,3,1,1,1,1,1
05/04/2016 15:35:49,3,2,3,3,2,3,2,4
05/04/2016 15:53:40,1,1,1,1,1,1,1,1
05/04/2016 15:57:57,2,2,2,2,2,3,2,1
05/04/2016 16:08:40,5,5,5,3,4,3,4,4
05/04/2016 16:19:37,5,4,4,4,4,4,4,4
05/04/2016 16:28:45,4,3,4,4,3,2,3,3
05/04/2016 16:33:41,1,5,5,4,4,3,2,2
05/04/2016 16:43:31,2,2,3,2,1,1,1,1
05/04/2016 16:45:46,1,1,1,1,1,1,1,1
